,minuteOfDay,Close
556,11,172.88
557,12,172.94
558,13,172.8149
559,14,172.8018
560,15,172.76
561,16,172.795
562,17,172.771
563,18,172.71
564,19,172.76
565,20,172.91
566,21,172.81
567,22,172.8599
568,23,172.9689
569,24,172.82
570,25,172.83
571,26,172.94
572,27,172.92
573,28,172.9
574,29,172.97
575,30,173.0011
576,31,173.03
577,32,173.175
578,33,173.12
579,34,173.3741
580,35,173.63
581,36,173.53
582,37,173.46
583,38,173.485
584,39,173.3738
585,40,173.45
586,41,173.52
587,42,173.46
588,43,173.5399
589,44,173.455
590,45,173.42
591,46,173.46
592,47,173.42
593,48,173.305
594,49,173.2899
595,50,173.29
596,51,173.3557
597,52,173.49
598,53,173.56
599,54,173.57
600,55,173.55
601,56,173.56
602,57,173.414
603,58,173.4
604,59,173.36
605,60,173.45
606,61,173.42
607,62,173.46
608,63,173.53
609,64,173.54
610,65,173.53
611,66,173.6443
612,67,173.65
613,68,173.79
614,69,173.89
615,70,173.93
616,71,174.0
617,72,174.1034
618,73,173.94
619,74,173.8
620,75,173.8175
621,76,173.58
622,77,173.8625
623,78,173.92
624,1,175.79
625,2,175.55
626,3,175.745
627,4,175.89
628,5,176.09
629,6,176.21
630,7,176.23
631,8,176.38
632,9,176.555
633,10,176.45
634,11,176.455
635,12,176.3464
636,13,176.19
637,14,176.03
638,15,176.1163
639,16,176.08
640,17,176.3586
641,18,176.346
642,19,176.45
643,20,176.6
644,21,176.62
645,22,176.5999
646,23,176.56
647,24,176.625
648,25,176.53
649,26,176.46
650,27,176.48
651,28,176.55
652,29,176.52
653,30,176.51
654,31,176.53
655,32,176.5
656,33,176.498
657,34,176.47
658,35,176.3755
659,36,176.3
660,37,176.319
661,38,176.46
662,39,176.48
663,40,176.4917
664,41,176.45
665,42,176.47
666,43,176.45
667,44,176.54
668,45,176.63
669,46,176.67
670,47,176.66
671,48,176.8
672,49,176.8258
673,50,176.8745
674,51,176.83
675,52,176.88
676,53,176.8986
677,54,177.009
678,55,177.0168
679,56,177.1
680,57,177.0882
681,58,176.945
682,59,176.89
683,60,176.85
684,61,176.77
685,62,176.77
686,63,176.87
687,64,176.93
688,65,176.93
689,66,177.1
690,67,176.86
691,68,176.96
692,69,176.9161
693,70,176.87
694,71,176.7773
695,72,176.73
696,73,176.86
697,74,176.9975
698,75,177.0553
699,76,177.02
700,77,176.78
701,78,176.42
702,1,174.985
703,2,174.906
704,3,174.17
705,4,174.432
706,5,175.07
707,6,174.93
708,7,174.98
709,8,174.76
710,9,174.7776
711,10,174.78
712,11,174.515
713,12,174.69
714,13,174.7
715,14,174.57
716,15,174.29
717,16,174.44
718,17,174.61
719,18,174.42
720,19,174.39
721,20,174.3801
722,21,174.52
723,22,174.7375
724,23,174.79
725,24,174.94
726,25,174.81
727,26,174.69
728,27,174.67
729,28,174.74
730,29,174.61
731,30,174.515
732,31,174.5
733,32,174.48
734,33,174.48
735,34,174.3991
736,35,174.26
737,36,174.31
738,37,174.475
739,38,174.58
740,39,174.62
741,40,174.565
742,41,174.63
743,42,174.61
744,43,174.7
745,44,174.7132
746,45,174.745
747,46,174.87
748,47,174.925
749,48,174.88
750,49,175.0468
751,50,174.89
752,51,174.88
753,52,174.91
754,53,174.9
755,54,174.76
756,55,174.745
757,56,174.58
758,57,174.59
759,58,174.54
760,59,174.735
761,60,174.865
762,61,174.7272
763,62,174.65
764,63,174.61
765,64,174.55
766,65,174.4515
767,66,174.46
768,67,174.25
769,68,174.31
770,69,174.48
771,70,174.4199
772,71,174.53
773,72,174.505
774,73,174.545
775,74,174.49
776,75,174.485
777,76,174.22
778,77,174.48
779,78,174.53
780,1,175.25
781,2,174.84
782,3,174.04
783,4,173.6605
784,5,173.485
785,6,174.03
786,7,173.91
787,8,173.91
788,9,174.109
789,10,173.805
790,11,173.64
791,12,173.87
792,13,173.76
793,14,173.585
794,15,173.425
795,16,173.59
796,17,173.6687
797,18,173.55
798,19,174.0
799,20,173.84
800,21,173.76
801,22,173.58
802,23,173.68
803,24,174.0567
804,25,174.2098
805,26,174.1952
806,27,174.1366
807,28,174.36
808,29,174.44
809,30,174.31
810,31,174.25
811,32,174.1299
812,33,174.42
813,34,174.58
814,35,174.68
815,36,174.52
816,37,174.6
817,38,174.31
818,39,174.325
819,40,174.57
820,41,174.49
821,42,174.54
822,43,174.465
823,44,174.505
824,45,174.5688
825,46,174.47
826,47,174.69
827,48,174.65
828,49,174.64
829,50,174.5041
